architecture,R5_n,R5_mean,R5_sd,quality_composite_n,quality_composite_mean,quality_composite_sd,R4_n,R4_mean,R4_sd,R6_n,R6_mean,R6_sd
pure_ai,250.0,2.332,1.1255413690726683,250.0,2.312,0.6555212933210653,250.0,3.624,1.6239374035852019,250.0,3.664,1.301491266998088
hybrid,250.0,2.244,1.2290264537821718,250.0,2.298666666666667,0.6691039783686904,250.0,3.536,1.6159048840750205,250.0,3.352,1.2816655830077763
pure_cbr_llm,250.0,2.168,1.135311290751409,250.0,2.270666666666667,0.6267016994394711,250.0,3.652,1.545461031277327,250.0,3.264,1.3301810125334128
baseline,250.0,2.096,1.181680785115694,250.0,2.0053333333333336,0.7462343364936173,250.0,4.048,1.3162927128963722,250.0,3.612,1.438657339243447
pure_cbr_tpl,250.0,1.3,0.6781145606973198,250.0,1.0,0.0,250.0,1.904,0.8728294938309573,250.0,1.0,0.0
