Source,SS,df,MS,F,p,η²p
Architecture,173.32000000000002,4,43.330000000000005,37.619778303825825,1.1102230246251565e-16,0.10940123464582835
Persona,27.175999999999984,4,6.793999999999996,5.8986562150055954,0.00010585126009499124,0.018896945726214007
Architecture × Persona,36.584,16,2.2865,1.9851747770989556,0.011482778106153613,0.025273501510164945
Residual,1410.94,1225,1.1517877551020408,,,
