Source,chi2,df,F_approx,p
Architecture,50.89655326645092,4,12.72413831661273,2.3461256246761745e-10
Persona,40.39391439824907,4,10.098478599562268,3.5879506426091e-08
Architecture x Persona,36.89882077858242,16,2.306176298661401,0.0021669318387281056
