Source,chi2,df,F_approx,p
Architecture,116.04727378516769,4,29.011818446291922,3.729757910686149e-24
Persona,49.230002216134665,4,12.307500554033666,5.227995748387446e-10
Architecture x Persona,43.82062139334883,16,2.738788837084302,0.0002100202734705624
