Source,chi2,df,F_approx,p
Architecture,241.64143644021195,4,60.41035911005299,4.111023251118225e-51
Persona,153.4040286691151,4,38.35100716727877,3.7946410553400207e-32
Architecture x Persona,107.19379439432605,16,6.699612149645378,1.5281253478059395e-15
