Source,chi2,df,F_approx,p
Architecture,286.30530080818954,4,71.57632520204739,9.736805426423754e-61
Persona,125.2646541539125,4,31.316163538478126,4.0068563028224427e-26
Architecture x Persona,146.50588756260063,16,9.15661797266254,3.810180724347918e-23
