Source,chi2,df,F_approx,p
Architecture,344.8267339745504,4,86.2066834936376,2.2956658915492697e-73
Persona,578.7005139846256,4,144.6751284961564,6.305249345371935e-124
Architecture x Persona,430.68974129000554,16,26.918108830625346,1.320397007764098e-81
