Source,chi2,df,F_approx,p
Architecture,243.75391169086296,4,60.93847792271574,1.4420524235669672e-51
Persona,66.24002425918817,4,16.560006064797044,1.409842727586271e-13
Architecture x Persona,64.2378360165776,16,4.0148647510361,9.958913805250345e-08
