Source,SS,df,MS,F,p,η²p
Architecture,70.47288888888889,4,17.618222222222222,46.15978781213613,1.1102230246251565e-16,0.450736094647644
Persona,13.486222222222224,4,3.371555555555556,8.833484279984479,1.2153004355086594e-06,0.13572543599515147
Architecture × Persona,11.998222222222225,16,0.749888888888889,1.9647108293440303,0.01639199277736403,0.12258594775248507
Residual,85.87777777777774,225,0.38167901234567886,,,
