architecture,R5_n,R5_mean,R5_sd,quality_composite_n,quality_composite_mean,quality_composite_sd,R4_n,R4_mean,R4_sd,R6_n,R6_mean,R6_sd
pure_ai,50.0,2.18,1.1551128578133458,50.0,2.3866666666666667,0.8257752490264902,50.0,2.92,1.7004201161561732,50.0,3.0,1.4285714285714286
hybrid,50.0,2.14,1.1430357003370004,50.0,2.3866666666666667,0.6813352237150447,50.0,3.44,1.7161894191635665,50.0,3.1,1.3286482312670196
pure_cbr_llm,50.0,1.9,0.839095723176481,50.0,2.3,0.762648446573665,50.0,3.4,1.7842851423995427,50.0,2.98,1.406834629041163
baseline,50.0,1.74,1.084397697962763,50.0,1.8533333333333335,0.7382027571457566,50.0,3.6,1.5518257844571735,50.0,3.12,1.3648652471424214
pure_cbr_tpl,50.0,1.1,0.30304576336566336,50.0,1.0,0.0,50.0,1.62,0.830293776384022,50.0,1.0,0.0
