Source,SS,df,MS,F,p,η²p
Architecture,38.144000000000005,4,9.536000000000001,10.819969742813921,4.85865223609494e-08,0.16132361151054797
Persona,3.744000000000001,4,0.9360000000000003,1.062027231467474,0.37613801450932904,0.018530617093306414
Architecture × Persona,23.976,16,1.4985,1.700264750378215,0.04779564452134788,0.10786589645305837
Residual,198.29999999999998,225,0.8813333333333333,,,
