Source,SS,df,MS,F,p,η²p
Architecture,98.5881298270003,4,24.647032456750075,14.967468439451709,5.997868868234946e-12,0.04666870349245544
Persona,63.23659569045411,4,15.809148922613527,9.600463583964086,1.2078232802803512e-07,0.030443790932965925
Architecture × Persona,40.57894729782551,16,2.5361842061140942,1.5401552754174441,0.07841927982987529,0.019751238607747416
Residual,2013.9224489795922,1223,1.6467068266390779,,,
